,pred_type,ID,ds,numbox,weight,bulk
356,zhongzhuang,50,2015-12-31,6396,61920.76,322.690995
357,zhongzhuang,50,2016-01-01,5298,54976.62,288.142694
358,zhongzhuang,50,2016-01-02,5327,43594.204,291.168996
359,zhongzhuang,50,2016-01-03,4558,37699.702,241.792397
360,zhongzhuang,50,2016-01-04,7493,45713.84,303.674796
361,zhongzhuang,50,2016-01-05,2570,19307.732,108.7466
362,zhongzhuang,50,2016-01-06,10328,76913.665,523.172397
363,zhongzhuang,50,2016-01-07,2120,15601.844,101.227698
364,zhongzhuang,50,2016-01-08,7484,56155.65,272.600998
365,zhongzhuang,50,2016-01-09,5733,50180.026,333.685697
366,zhongzhuang,50,2016-01-10,6678,49487.501,323.241814
367,zhongzhuang,50,2016-01-11,4835,33771.644,219.103795
368,zhongzhuang,50,2016-01-12,4796,34639.2,149.446398
369,zhongzhuang,50,2016-01-13,6626,46319.296,278.686833
370,zhongzhuang,50,2016-01-14,8608,69676.3,486.028899
371,zhongzhuang,50,2016-01-15,9278,71172.925,424.605098
372,zhongzhuang,50,2016-01-16,3715,31453.43,173.232697
373,zhongzhuang,50,2016-01-17,12369,93583.541,523.522896
374,zhongzhuang,50,2016-01-18,2551,20885.991,176.412891
375,zhongzhuang,50,2016-01-19,9271,72947.799,372.844098
376,zhongzhuang,50,2016-01-20,7663,57307.75,413.77796
377,zhongzhuang,50,2016-01-21,7612,65444.293,311.209223
378,zhongzhuang,50,2016-01-22,2228,20179.451,130.8309
379,zhongzhuang,50,2016-01-23,6828,60330.93,280.635797
380,zhongzhuang,50,2016-01-24,5020,51130.36,291.853719
381,zhongzhuang,50,2016-01-25,8380,64277.405,352.848091
382,zhongzhuang,50,2016-01-26,5377,44235.03,200.74334
383,zhongzhuang,50,2016-01-27,13174,67684.316,404.270844
384,zhongzhuang,50,2016-01-28,3190,28032.419,202.068493
385,zhongzhuang,50,2016-01-29,12804,69955.26,341.179071
386,zhongzhuang,50,2016-01-30,4348,26379.739,235.230299
387,zhongzhuang,50,2016-01-31,7679,60336.32,318.087599
388,zhongzhuang,50,2016-02-01,6068,53464.94,273.600717
389,zhongzhuang,50,2016-02-02,9515,65157.492,317.332699
390,zhongzhuang,50,2016-02-03,5468,38900.569,241.362195
391,zhongzhuang,50,2016-02-04,5213,44007.69,280.702559
392,zhongzhuang,50,2016-02-05,550,5379.6,25.238099
393,zhongzhuang,50,2016-02-06,1790,6364.7,38.0178
394,zhongzhuang,50,2016-02-15,21,84.0,1.02
395,zhongzhuang,50,2016-02-16,188,1615.12,5.6821
396,zhongzhuang,50,2016-02-17,898,6290.701,68.4213
397,zhongzhuang,50,2016-02-18,1823,19039.28,81.841798
398,zhongzhuang,50,2016-02-19,2027,21645.34,104.238198
399,zhongzhuang,50,2016-02-20,3341,21814.24,151.3676
400,zhongzhuang,50,2016-02-21,6523,50155.548,252.200469
401,zhongzhuang,50,2016-02-22,6753,52196.083,359.036993
402,zhongzhuang,50,2016-02-23,3316,31394.34,164.71142
403,zhongzhuang,50,2016-02-24,3115,28223.27,123.349899
404,zhongzhuang,50,2016-02-25,3773,38027.22,225.015503
405,zhongzhuang,50,2016-02-26,4151,38726.865,248.612588
406,zhongzhuang,50,2016-02-27,4601,25223.78,187.514823
407,zhongzhuang,50,2016-02-28,5787,54185.72,305.929019
408,zhongzhuang,50,2016-02-29,2545,23816.382,158.502399
409,zhongzhuang,50,2016-03-01,5365,51734.18,255.231461
410,zhongzhuang,50,2016-03-02,3622,36665.44,186.308878
411,zhongzhuang,50,2016-03-03,3914,38160.362,169.123098
412,zhongzhuang,50,2016-03-04,3338,32792.121,209.679399
413,zhongzhuang,50,2016-03-05,5607,40279.33,274.090308
414,zhongzhuang,50,2016-03-06,7543,63862.322,319.392047
415,zhongzhuang,50,2016-03-07,5916,44259.861,329.708179
416,zhongzhuang,50,2016-03-08,3935,36766.895,209.017095
417,zhongzhuang,50,2016-03-09,3835,43012.002,194.91
418,zhongzhuang,50,2016-03-10,5012,39272.165,258.160458
419,zhongzhuang,50,2016-03-11,3999,34406.9,220.9893
420,zhongzhuang,50,2016-03-12,6551,69410.186,409.130172
421,zhongzhuang,50,2016-03-13,6097,38215.642,271.719602
422,zhongzhuang,50,2016-03-14,6402,57468.23,344.574295
423,zhongzhuang,50,2016-03-15,2422,20480.471,156.566597
424,zhongzhuang,50,2016-03-16,3119,23741.848,128.223428
425,zhongzhuang,50,2016-03-17,4155,33885.402,227.229498
426,zhongzhuang,50,2016-03-18,6141,47889.73,304.537717
427,zhongzhuang,50,2016-03-19,8675,76897.542,387.394066
428,zhongzhuang,50,2016-03-20,5350,51558.562,349.61012
429,zhongzhuang,50,2016-03-21,5990,55996.951,351.353136
430,zhongzhuang,50,2016-03-22,3497,34192.076,187.013142
431,zhongzhuang,50,2016-03-23,3642,23284.008,169.585075
432,zhongzhuang,50,2016-03-24,5475,50926.336,351.363697
433,zhongzhuang,50,2016-03-25,4673,46851.58,272.80964
434,zhongzhuang,50,2016-03-26,4165,36767.015,205.922399
435,zhongzhuang,50,2016-03-27,8530,81834.179,477.226379
436,zhongzhuang,50,2016-03-28,6750,54666.058,270.502271
437,zhongzhuang,50,2016-03-29,2888,22915.289,147.664712
438,zhongzhuang,50,2016-03-30,4224,34572.17,242.214898
439,zhongzhuang,50,2016-03-31,4084,38246.521,216.539893
440,zhongzhuang,50,2016-04-01,7912,69810.91,386.619549
